"Vármegye kód";"Vármegye";"OEVK";"Település kód";"Település";"TEVK";"Szavazókör";"Szavazókör cím";"Számlálásra kijelölt";"Akadálymentesített";"PIR";"Közterület név";"Közterület jelleg";"Házszám";"Épület";"Lépcsőház";"Kapukód";
"01";"Budapest";"01";"001";"Budapest I";"01";"001";"Úri utca 38. (Önkormányzat Intézménye)";"N";"I";"1014";"Anna";"utca";"000001";"";"";"249649";
"01";"Budapest";"01";"001";"Budapest I";"01";"001";"Úri utca 38. (Önkormányzat Intézménye)";"N";"I";"1014";"Balta";"köz";"000001";"";"";"1352512";
"01";"Budapest";"01";"001";"Budapest I";"01";"001";"Úri utca 38. (Önkormányzat Intézménye)";"N";"I";"1014";"Balta";"köz";"000004";"";"";"296";
"01";"Budapest";"04";"002";"Budapest II";"02";"060";"Marczibányi tér 1. (Kodály Z. Ált. Isk. és Gimn.)";"N";"N";"1024";"Retek";"utca";"000004";"";"";"250233";
"01";"Budapest";"04";"002";"Budapest II";"02";"060";"Marczibányi tér 1. (Kodály Z. Ált. Isk. és Gimn.)";"N";"N";"1024";"Retek";"utca";"000005";"";"";"1459";
"01";"Budapest";"04";"002";"Budapest II";"02";"060";"Marczibányi tér 1. (Kodály Z. Ált. Isk. és Gimn.)";"N";"N";"1024";"Retek";"utca";"000006";"";"";"1460";
"01";"Budapest";"04";"002";"Budapest II";"02";"060";"Marczibányi tér 1. (Kodály Z. Ált. Isk. és Gimn.)";"N";"N";"1024";"Retek";"utca";"000008";"";"";"1461";
"01";"Budapest";"04";"002";"Budapest II";"02";"060";"Marczibányi tér 1. (Kodály Z. Ált. Isk. és Gimn.)";"N";"N";"1024";"Retek";"utca";"000010";"";"";"1463";
"01";"Budapest";"04";"002";"Budapest II";"02";"060";"Marczibányi tér 1. (Kodály Z. Ált. Isk. és Gimn.)";"N";"N";"1024";"Retek";"utca";"000012";"";"";"1464";
"01";"Budapest";"04";"002";"Budapest II";"02";"060";"Marczibányi tér 1. (Kodály Z. Ált. Isk. és Gimn.)";"N";"N";"1024";"Retek";"utca";"000014";"";"";"1465";
"01";"Budapest";"04";"002";"Budapest II";"05";"002";"Lajos u. 1-5. (Than Károly Gimn.)";"N";"N";"1023";"Diófa";"lejtő";"000002";"";"";"7481042";
"01";"Budapest";"04";"002";"Budapest II";"05";"002";"Lajos u. 1-5. (Than Károly Gimn.)";"N";"N";"1023";"Diófa";"lejtő";"000003";"";"";"7589525";
"01";"Budapest";"04";"002";"Budapest II";"05";"002";"Lajos u. 1-5. (Than Károly Gimn.)";"N";"N";"1023";"Frankel Leó";"út";"000055-0057";"";"A";"7433691";
"01";"Budapest";"04";"002";"Budapest II";"05";"002";"Lajos u. 1-5. (Than Károly Gimn.)";"N";"N";"1023";"Frankel Leó";"út";"000055-0057";"";"B";"7433690";
"01";"Budapest";"04";"002";"Budapest II";"06";"018";"Törökvész út 67. (Ált. Isk.)";"N";"N";"1025";"Törökvész";"út";"000041";"";"";"1833";
"01";"Budapest";"04";"002";"Budapest II";"06";"018";"Törökvész út 67. (Ált. Isk.)";"N";"N";"1025";"Törökvész";"út";"000043";"";"";"2872743";
"01";"Budapest";"04";"002";"Budapest II";"06";"018";"Törökvész út 67. (Ált. Isk.)";"N";"N";"1025";"Törökvész";"út";"000045";"";"";"668874";
"01";"Budapest";"04";"002";"Budapest II";"06";"018";"Törökvész út 67. (Ált. Isk.)";"N";"N";"1025";"Törökvész";"út";"000047";"";"";"2239667";
"01";"Budapest";"04";"002";"Budapest II";"06";"018";"Törökvész út 67. (Ált. Isk.)";"N";"N";"1025";"Törökvész";"út";"000047/A";"";"";"1352694";
"01";"Budapest";"04";"002";"Budapest II";"06";"018";"Törökvész út 67. (Ált. Isk.)";"N";"N";"1025";"Törökvész";"út";"000047/B";"";"";"1428438";
"01";"Budapest";"04";"002";"Budapest II";"06";"018";"Törökvész út 67. (Ált. Isk.)";"N";"N";"1025";"Törökvész";"út";"000049-0055";"A";"";"843916";
"01";"Budapest";"04";"002";"Budapest II";"06";"018";"Törökvész út 67. (Ált. Isk.)";"N";"N";"1025";"Törökvész";"út";"000049-0055";"B";"";"7412979";
"01";"Budapest";"04";"002";"Budapest II";"06";"018";"Törökvész út 67. (Ált. Isk.)";"N";"N";"1025";"Törökvész";"út";"000049-0055";"C";"";"7412980";
"01";"Budapest";"04";"002";"Budapest II";"06";"018";"Törökvész út 67. (Ált. Isk.)";"N";"N";"1025";"Törökvész";"út";"000049-0055";"G";"";"7412981";
"01";"Budapest";"04";"002";"Budapest II";"06";"018";"Törökvész út 67. (Ált. Isk.)";"N";"N";"1025";"Törökvész";"út";"000049-0055";"H";"";"7412982";
